Trace
Swept SA
A.17.55,N9010A
526 B25 DP2 EP3 FS1 MPB RTL ,01
Segment,0
Number of Points,2000
Sweep Time,0.025054133333
Start Frequency,16500000000
Stop Frequency,26500000000
Average Count,100
Average Type,Power(RMS)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,300000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
16500000000,-46.343647257254
16505002501.2506,-46.218313692425
16510005002.5013,-46.1164063085001
16515007503.7519,-46.0449794832604
16520010005.0025,-46.0290215084054
16525012506.2531,-46.0272638831596
16530015007.5038,-46.0421692382334
16535017508.7544,-46.1536821720161
16540020010.005,-46.2968196585257
16545022511.2556,-46.4467650833146
16550025012.5063,-46.4545617569562
16555027513.7569,-46.4632152570537
16560030015.0075,-46.521119861658
16565032516.2581,-46.6179535717755
16570035017.5088,-46.4205219247807
16575037518.7594,-46.4875300174755
16580040020.01,-46.32511791433
16585042521.2606,-46.2604173052263
16590045022.5113,-46.1448457012054
16595047523.7619,-46.0711219469656
16600050025.0125,-46.0992494744846
16605052526.2631,-46.1066872949279
16610055027.5138,-46.1356034796692
16615057528.7644,-46.1061680803346
16620060030.015,-46.3747915994268
16625062531.2656,-46.3090722960573
16630065032.5163,-46.3498382767936
16635067533.7669,-46.2926655847721
16640070035.0175,-46.1955109505112
16645072536.2681,-46.213683410337
16650075037.5188,-46.051957425157
16655077538.7694,-45.9744445203993
16660080040.02,-45.8196173127663
16665082541.2706,-45.6657000864503
16670085042.5213,-45.5629042699916
16675087543.7719,-45.5474823412845
16680090045.0225,-45.6083854911039
16685092546.2731,-45.5544651867088
16690095047.5238,-45.6415348800806
16695097548.7744,-45.5761500758968
16700100050.025,-45.712200280704
16705102551.2756,-45.7560489979503
16710105052.5263,-45.7953249932268
16715107553.7769,-45.8187911104041
16720110055.0275,-45.8081014485937
16725112556.2781,-45.9734847974765
16730115057.5288,-45.8397629047152
16735117558.7794,-46.034946065273
16740120060.03,-45.9147361154777
16745122561.2806,-45.8983772539162
16750125062.5313,-45.8288304673974
16755127563.7819,-45.700545613223
16760130065.0325,-45.6148919315206
16765132566.2831,-45.4802444936461
16770135067.5338,-45.3841002504631
16775137568.7844,-45.1834263380786
16780140070.035,-45.1338250076564
16785142571.2856,-45.0397412476307
16790145072.5363,-45.0612946934429
16795147573.7869,-44.9842924961223
16800150075.0375,-45.1096749818208
16805152576.2881,-45.2047611924729
16810155077.5388,-45.2557273972554
16815157578.7894,-45.3066548696622
16820160080.04,-45.3621873575885
16825162581.2906,-45.3532806372845
16830165082.5413,-45.2821133764057
16835167583.7919,-45.2087911962668
16840170085.0425,-45.1191724103699
16845172586.2931,-44.9830550883607
16850175087.5438,-44.8560480246194
16855177588.7944,-44.7179194932433
16860180090.045,-44.7174684170088
16865182591.2956,-44.5898821017782
16870185092.5463,-44.5905391991146
16875187593.7969,-44.5406524682974
16880190095.0475,-44.6230754656916
16885192596.2981,-44.69035012014
16890195097.5488,-44.6880620026938
16895197598.7994,-44.7401746803019
16900200100.05,-44.8249636608499
16905202601.3007,-44.7994680907509
16910205102.5513,-44.876584461851
16915207603.8019,-44.9336245341782
16920210105.0525,-44.94841269969
16925212606.3032,-44.7535475534787
16930215107.5538,-44.8832152282467
16935217608.8044,-44.8414931436997
16940220110.055,-44.744497361652
16945222611.3057,-44.6776083084975
16950225112.5563,-44.6539955685669
16955227613.8069,-44.6676205746481
16960230115.0575,-44.6924203246755
16965232616.3082,-44.5846045210641
16970235117.5588,-44.6808508212481
16975237618.8094,-44.6909448428463
16980240120.06,-44.6889804288208
16985242621.3107,-44.7651600624163
16990245122.5613,-44.6768924708763
16995247623.8119,-44.6351393584291
17000250125.0625,-44.7299569993055
17005252626.3132,-44.6084831915908
17010255127.5638,-44.6466112208116
17015257628.8144,-44.6616641082435
17020260130.065,-44.4735186960259
17025262631.3157,-44.5500168169826
17030265132.5663,-44.34740811702
17035267633.8169,-44.2872424918132
17040270135.0675,-44.2642734010715
17045272636.3182,-44.3008416072583
17050275137.5688,-44.2354241015945
17055277638.8194,-44.1361392997979
17060280140.07,-44.1281985474107
17065282641.3207,-44.1844281839116
17070285142.5713,-44.1524397290712
17075287643.8219,-44.1668771330397
17080290145.0725,-44.164021288898
17085292646.3232,-44.2147983007176
17090295147.5738,-44.0657869922059
17095297648.8244,-44.0737633757982
17100300150.075,-43.815407500798
17105302651.3257,-43.8593566687596
17110305152.5763,-43.7740930961393
17115307653.8269,-43.6786915922287
17120310155.0775,-43.5766877752255
17125312656.3282,-43.6927127365949
17130315157.5788,-43.7696291107204
17135317658.8294,-43.7225379161053
17140320160.08,-43.6709467024746
17145322661.3307,-43.8520065333856
17150325162.5813,-43.9003620678979
17155327663.8319,-43.9018720380085
17160330165.0825,-43.9674141351483
17165332666.3332,-43.9640079222364
17170335167.5838,-44.0328369377065
17175337668.8344,-44.0057054618682
17180340170.085,-43.9361076682682
17185342671.3357,-44.0049474394986
17190345172.5863,-44.0180557580255
17195347673.8369,-43.9710147949975
17200350175.0875,-44.056963856454
17205352676.3382,-44.1481429617372
17210355177.5888,-44.101566494983
17215357678.8394,-44.1022210632142
17220360180.09,-44.1846130268058
17225362681.3407,-44.2815180693899
17230365182.5913,-44.2174761130257
17235367683.8419,-44.2749450320276
17240370185.0925,-44.3239094692152
17245372686.3432,-44.2824230724721
17250375187.5938,-44.2981768359962
17255377688.8444,-44.253973421952
17260380190.095,-44.3076373528489
17265382691.3457,-44.3901268244461
17270385192.5963,-44.262114615921
17275387693.8469,-44.1628478345709
17280390195.0975,-44.1826667372696
17285392696.3482,-44.2900087435508
17290395197.5988,-44.0368119567852
17295397698.8494,-44.0948484820608
17300400200.1001,-44.0615227083228
17305402701.3507,-43.9816187850796
17310405202.6013,-43.935321217979
17315407703.8519,-43.8849308359474
17320410205.1026,-43.7347953411753
17325412706.3532,-43.6687641995665
17330415207.6038,-43.6633294974985
17335417708.8544,-43.5864341777402
17340420210.1051,-43.5077399011024
17345422711.3557,-43.6224438714878
17350425212.6063,-43.4967517961701
17355427713.8569,-43.5319577073708
17360430215.1076,-43.395561110936
17365432716.3582,-43.407343867616
17370435217.6088,-43.3085524100246
17375437718.8594,-43.2891287002298
17380440220.1101,-43.2128770748064
17385442721.3607,-43.2010252273844
17390445222.6113,-43.1894584288925
17395447723.8619,-43.190367994643
17400450225.1126,-43.1438266919709
17405452726.3632,-43.1666278976005
17410455227.6138,-43.2107556302353
17415457728.8644,-43.058160313453
17420460230.1151,-43.1131356247069
17425462731.3657,-42.8878734575235
