Trace
Swept SA
A.17.55,N9010A
526 B25 DP2 EP3 FS1 MPB RTL ,01
Segment,0
Number of Points,2000
Sweep Time,0.050641333333
Start Frequency,16500000000
Stop Frequency,26500000000
Average Count,100
Average Type,Power(RMS)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,300000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
16500000000,-52.8944567864398
16505002501.2506,-52.7215677612063
16510005002.5013,-52.4696166706522
16515007503.7519,-52.1723406938489
16520010005.0025,-52.0242222720541
16525012506.2531,-51.9776486890008
16530015007.5038,-52.0664977532672
16535017508.7544,-52.2855815464692
16540020010.005,-52.5690695893917
16545022511.2556,-53.0082705810928
16550025012.5063,-53.409293815201
16555027513.7569,-53.7788495663196
16560030015.0075,-54.1131134068115
16565032516.2581,-54.3147628557615
16570035017.5088,-54.399640565368
16575037518.7594,-54.4499481625222
16580040020.01,-54.3671581427392
16585042521.2606,-54.2434606995575
16590045022.5113,-53.9917329525006
16595047523.7619,-53.7652264317189
16600050025.0125,-53.5312986632314
16605052526.2631,-53.3694802900214
16610055027.5138,-53.1450739412344
16615057528.7644,-53.0940723137269
16620060030.015,-53.1242539652938
16625062531.2656,-53.3653363529141
16630065032.5163,-53.5699403312948
16635067533.7669,-53.8933075871508
16640070035.0175,-54.098301164787
16645072536.2681,-54.3726255078729
16650075037.5188,-54.5116372945159
16655077538.7694,-54.6219525834365
16660080040.02,-54.6402037886126
16665082541.2706,-54.6469736557255
16670085042.5213,-54.4731102892851
16675087543.7719,-54.3018031401137
16680090045.0225,-54.0972348596495
16685092546.2731,-53.8550157892966
16690095047.5238,-53.5381329568553
16695097548.7744,-53.3010600847785
16700100050.025,-53.1456163319013
16705102551.2756,-53.0296656070975
16710105052.5263,-53.0821342048114
16715107553.7769,-53.1768270319986
16720110055.0275,-53.412101446142
16725112556.2781,-53.7307777300568
16730115057.5288,-54.0951779272762
16735117558.7794,-54.3743846799751
16740120060.03,-54.696256428747
16745122561.2806,-54.8273816472969
16750125062.5313,-54.9011381120847
16755127563.7819,-54.8865818682764
16760130065.0325,-54.7377855320285
16765132566.2831,-54.4700780913907
16770135067.5338,-54.1544729555253
16775137568.7844,-53.7805828138876
16780140070.035,-53.4105899033134
16785142571.2856,-53.081353220295
16790145072.5363,-52.8450708176535
16795147573.7869,-52.7381850852499
16800150075.0375,-52.9018681907071
16805152576.2881,-53.0247328744841
16810155077.5388,-53.3424027864483
16815157578.7894,-53.6296264875628
16820160080.04,-53.9926255126612
16825162581.2906,-54.2254735491227
16830165082.5413,-54.3319331526646
16835167583.7919,-54.4497516044095
16840170085.0425,-54.4133050915249
16845172586.2931,-54.3709405186799
16850175087.5438,-54.1752207253829
16855177588.7944,-53.9431193931313
16860180090.045,-53.705476564711
16865182591.2956,-53.3863859201545
16870185092.5463,-53.0642839079523
16875187593.7969,-52.8077472310837
16880190095.0475,-52.6614834769433
16885192596.2981,-52.559551507103
16890195097.5488,-52.5439595128657
16895197598.7994,-52.7106791036642
16900200100.05,-52.8611393736633
16905202601.3007,-53.1215274807858
16910205102.5513,-53.2748470871599
16915207603.8019,-53.5503268874143
16920210105.0525,-53.6751222594947
16925212606.3032,-53.8334877721094
16930215107.5538,-53.86589946508
16935217608.8044,-53.9543084456255
16940220110.055,-53.8633167468062
16945222611.3057,-53.7745011853955
16950225112.5563,-53.6244164700224
16955227613.8069,-53.4215250459415
16960230115.0575,-53.2744817186031
16965232616.3082,-53.0779439754361
16970235117.5588,-52.888041786
16975237618.8094,-52.8495134083242
16980240120.06,-52.861572548764
16985242621.3107,-52.9806079272911
16990245122.5613,-53.2079729821569
16995247623.8119,-53.5055549142145
17000250125.0625,-53.7738979434266
17005252626.3132,-54.0373831933412
17010255127.5638,-54.168051414249
17015257628.8144,-54.3564566111295
17020260130.065,-54.4179595661982
17025262631.3157,-54.4912335421009
17030265132.5663,-54.4352908903745
17035267633.8169,-54.3351774455207
17040270135.0675,-54.1799910061664
17045272636.3182,-53.9613731082449
17050275137.5688,-53.7170564920599
17055277638.8194,-53.4550572502626
17060280140.07,-53.3463932221408
17065282641.3207,-53.2326861767048
17070285142.5713,-53.2394142453468
17075287643.8219,-53.2974340886522
17080290145.0725,-53.4555647862385
17085292646.3232,-53.732111685322
17090295147.5738,-53.9389360510738
17095297648.8244,-54.0653317161719
17100300150.075,-53.9783032177113
17105302651.3257,-54.0806379406242
17110305152.5763,-54.0892467895155
17115307653.8269,-54.1844999816722
17120310155.0775,-54.0402333247701
17125312656.3282,-53.9755005453414
17130315157.5788,-53.8174936385198
17135317658.8294,-53.6201137096116
17140320160.08,-53.5330568565443
17145322661.3307,-53.2981222378422
17150325162.5813,-53.171112297791
17155327663.8319,-53.1467718655431
17160330165.0825,-53.1946729568175
17165332666.3332,-53.3116308429214
17170335167.5838,-53.4747867658847
17175337668.8344,-53.802702082118
17180340170.085,-54.1907766829707
17185342671.3357,-54.5036092213665
17190345172.5863,-54.7483479726607
17195347673.8369,-54.9259318786531
17200350175.0875,-55.1112651836797
17205352676.3382,-55.262080480808
17210355177.5888,-55.2965321310155
17215357678.8394,-55.2580156701346
17220360180.09,-55.223740760936
17225362681.3407,-55.0477513150529
17230365182.5913,-54.8998849260753
17235367683.8419,-54.751703111268
17240370185.0925,-54.7058935001862
17245372686.3432,-54.6758076280772
17250375187.5938,-54.7478599237282
17255377688.8444,-54.8992157578805
17260380190.095,-55.1410985420132
17265382691.3457,-55.3941273110605
17270385192.5963,-55.7346616677095
17275387693.8469,-56.0289174375549
17280390195.0975,-56.214239406391
17285392696.3482,-56.4084304231268
17290395197.5988,-56.5654893493286
17295397698.8494,-56.6924532497581
17300400200.1001,-56.6772692093462
17305402701.3507,-56.5855618795425
17310405202.6013,-56.5350476172863
17315407703.8519,-56.4502322945408
17320410205.1026,-56.3198757241788
17325412706.3532,-56.2553045749509
17330415207.6038,-56.1188869465934
17335417708.8544,-56.0855524924732
17340420210.1051,-56.0763383520181
17345422711.3557,-56.0842831900619
17350425212.6063,-56.2151902078339
17355427713.8569,-56.2548699173762
17360430215.1076,-56.3656935014762
17365432716.3582,-56.5024079880394
17370435217.6088,-56.6557339925826
17375437718.8594,-56.6823610289726
17380440220.1101,-56.7560600375632
17385442721.3607,-56.7636326274236
17390445222.6113,-56.7436471740317
17395447723.8619,-56.6753395938257
17400450225.1126,-56.6013442534734
17405452726.3632,-56.4706184156358
17410455227.6138,-56.4073151259785
17415457728.8644,-56.1955204365942
17420460230.1151,-56.0898523953466
